Name;"METEO - Air Temperature"
AKS;METEO:197:TT
Einheit;°C
"31.3101.26 02:00";1.7
"31.3101.26 03:00";-0.6
"31.3101.26 04:00";-0.8
"31.3101.26 05:00";-0.9
"31.3101.26 06:00";-0.8
"31.3101.26 07:00";-0.5
"31.3101.26 08:00";-0.5
"31.3101.26 09:00";0.1
"31.3101.26 10:00";0.6
"31.3101.26 11:00";1.2
"31.3101.26 12:00";2.6
"31.3101.26 13:00";3.3
"31.3101.26 14:00";3.9
"31.3101.26 15:00";3.6
"31.3101.26 16:00";3.7
"31.3101.26 17:00";3.5
"31.3101.26 18:00";2.3
"31.3101.26 19:00";2.3
"31.3101.26 20:00";1.9
"31.3101.26 21:00";1.9
"31.3101.26 22:00";1.7
"31.3101.26 23:00";1.6
"01.0102.26 00:00";1.6
"01.0102.26 01:00";1.4
"01.0102.26 02:00";1.3
"01.0102.26 03:00";0.9
"01.0102.26 04:00";0.8
"01.0102.26 05:00";0.7
"01.0102.26 06:00";0.8
"01.0102.26 07:00";0.8
"01.0102.26 08:00";0.8
"01.0102.26 09:00";0.9
"01.0102.26 10:00";1.5
"01.0102.26 11:00";2.1
"01.0102.26 12:00";2.9
"01.0102.26 13:00";3.9
"01.0102.26 14:00";4.6
"01.0102.26 15:00";5.0
"01.0102.26 16:00";5.7
"01.0102.26 17:00";5.2
"01.0102.26 18:00";4.3
"01.0102.26 19:00";1.0
"01.0102.26 20:00";0.8
"01.0102.26 21:00";0.6
"01.0102.26 22:00";-0.5
"01.0102.26 23:00";-0.6
"02.0202.26 00:00";-0.6
"02.0202.26 01:00";-0.5
"02.0202.26 02:00";-0.4
"02.0202.26 03:00";-0.4
"02.0202.26 04:00";0.1
"02.0202.26 05:00";0.1
"02.0202.26 06:00";0.1
"02.0202.26 07:00";0.1
"02.0202.26 08:00";0.1
"02.0202.26 09:00";0.3
"02.0202.26 10:00";0.6
"02.0202.26 11:00";1.4
"02.0202.26 12:00";2.3
"02.0202.26 13:00";4.1
"02.0202.26 14:00";5.2
"02.0202.26 15:00";5.8
"02.0202.26 16:00";6.6
"02.0202.26 17:00";6.2
"02.0202.26 18:00";5.1
"02.0202.26 19:00";4.0
"02.0202.26 20:00";3.6
"02.0202.26 21:00";3.3
"02.0202.26 22:00";3.4
"02.0202.26 23:00";3.3
"03.0302.26 00:00";3.1
"03.0302.26 01:00";2.4
"03.0302.26 02:00";2.2
"03.0302.26 03:00";2.0
"03.0302.26 04:00";1.8
"03.0302.26 05:00";1.5
